sample_id,source_group,source_image,degradation_type,severity,clean_path,distorted_path,mask_path,mask_ratio,clean_quality_score,masked_input_clean_l1,split,seed
v2_0010_1549_40_SKSSGPYXPE_1_39_36_H_Bed_1_114.15014_22.281556_207.632_27.006944_smear_warp,SKSSGPYXPE,research/assets/distortion_segmentation_annotation_dataset/for_segmentation/images/1549_40_SKSSGPYXPE_1_39_36_H_Bed_1_114.15014_22.281556_207.632_27.006944.png,smear_warp,large,research/data/restoration_v2_proxy_pairs/v2_0010_1549_40_SKSSGPYXPE_1_39_36_H_Bed_1_114.15014_22.281556_207.632_27.006944_smear_warp/clean.png,research/data/restoration_v2_proxy_pairs/v2_0010_1549_40_SKSSGPYXPE_1_39_36_H_Bed_1_114.15014_22.281556_207.632_27.006944_smear_warp/distorted.png,research/data/restoration_v2_proxy_pairs/v2_0010_1549_40_SKSSGPYXPE_1_39_36_H_Bed_1_114.15014_22.281556_207.632_27.006944_smear_warp/mask.png,0.39385364,1.000000,11.344854,train,20260830
v2_0011_323_73_TZHSTHMYHM_2_108_17_1_Kitchen_114.151702_22.278596_201.0533_116.042403_repeat_missing,TZHSTHMYHM,research/assets/distortion_segmentation_annotation_dataset/for_segmentation/images/323_73_TZHSTHMYHM_2_108_17_1_Kitchen_114.151702_22.278596_201.0533_116.042403.png,repeat_missing,medium,research/data/restoration_v2_proxy_pairs/v2_0011_323_73_TZHSTHMYHM_2_108_17_1_Kitchen_114.151702_22.278596_201.0533_116.042403_repeat_missing/clean.png,research/data/restoration_v2_proxy_pairs/v2_0011_323_73_TZHSTHMYHM_2_108_17_1_Kitchen_114.151702_22.278596_201.0533_116.042403_repeat_missing/distorted.png,research/data/restoration_v2_proxy_pairs/v2_0011_323_73_TZHSTHMYHM_2_108_17_1_Kitchen_114.151702_22.278596_201.0533_116.042403_repeat_missing/mask.png,0.19164541,1.000000,30.403356,train,20260831
v2_0012_543_77_TZHXTHIVHM_1_18_4_C_Bed_1_114.152905_22.279414_118.1211_8.589351_blur_downsample,TZHXTHIVHM,research/assets/distortion_segmentation_annotation_dataset/for_segmentation/images/543_77_TZHXTHIVHM_1_18_4_C_Bed_1_114.152905_22.279414_118.1211_8.589351.png,blur_downsample,small,research/data/restoration_v2_proxy_pairs/v2_0012_543_77_TZHXTHIVHM_1_18_4_C_Bed_1_114.152905_22.279414_118.1211_8.589351_blur_downsample/clean.png,research/data/restoration_v2_proxy_pairs/v2_0012_543_77_TZHXTHIVHM_1_18_4_C_Bed_1_114.152905_22.279414_118.1211_8.589351_blur_downsample/distorted.png,research/data/restoration_v2_proxy_pairs/v2_0012_543_77_TZHXTHIVHM_1_18_4_C_Bed_1_114.152905_22.279414_118.1211_8.589351_blur_downsample/mask.png,0.04494180,1.000000,14.171619,train,20260832
v2_0013_364_70_TZDXIHXYHM_1_13_17_C_MBed_114.148477_22.281452_188.6929_27.440753_smear_warp,TZDXIHXYHM,research/assets/distortion_segmentation_annotation_dataset/for_segmentation/images/364_70_TZDXIHXYHM_1_13_17_C_MBed_114.148477_22.281452_188.6929_27.440753.png,smear_warp,large,research/data/restoration_v2_proxy_pairs/v2_0013_364_70_TZDXIHXYHM_1_13_17_C_MBed_114.148477_22.281452_188.6929_27.440753_smear_warp/clean.png,research/data/restoration_v2_proxy_pairs/v2_0013_364_70_TZDXIHXYHM_1_13_17_C_MBed_114.148477_22.281452_188.6929_27.440753_smear_warp/distorted.png,research/data/restoration_v2_proxy_pairs/v2_0013_364_70_TZDXIHXYHM_1_13_17_C_MBed_114.148477_22.281452_188.6929_27.440753_smear_warp/mask.png,0.41972258,0.972744,30.488952,train,20260833
v2_0014_121_46_SSPPWBPXPS_1_3_28_A_Living_114.133194_22.284701_116.4567_106.038308_repeat_missing,SSPPWBPXPS,research/assets/distortion_segmentation_annotation_dataset/for_segmentation/images/121_46_SSPPWBPXPS_1_3_28_A_Living_114.133194_22.284701_116.4567_106.038308.png,repeat_missing,large,research/data/restoration_v2_proxy_pairs/v2_0014_121_46_SSPPWBPXPS_1_3_28_A_Living_114.133194_22.284701_116.4567_106.038308_repeat_missing/clean.png,research/data/restoration_v2_proxy_pairs/v2_0014_121_46_SSPPWBPXPS_1_3_28_A_Living_114.133194_22.284701_116.4567_106.038308_repeat_missing/distorted.png,research/data/restoration_v2_proxy_pairs/v2_0014_121_46_SSPPWBPXPS_1_3_28_A_Living_114.133194_22.284701_116.4567_106.038308_repeat_missing/mask.png,0.38024155,1.000000,25.788528,train,20260834
v2_0015_666_87_TZSNTHIAHM_1_24_25_D_LivingDining_114.153352_22.279546_181.8143_27.165863_blur_downsample,TZSNTHIAHM,research/assets/distortion_segmentation_annotation_dataset/for_segmentation/images/666_87_TZSNTHIAHM_1_24_25_D_LivingDining_114.153352_22.279546_181.8143_27.165863.png,blur_downsample,medium,research/data/restoration_v2_proxy_pairs/v2_0015_666_87_TZSNTHIAHM_1_24_25_D_LivingDining_114.153352_22.279546_181.8143_27.165863_blur_downsample/clean.png,research/data/restoration_v2_proxy_pairs/v2_0015_666_87_TZSNTHIAHM_1_24_25_D_LivingDining_114.153352_22.279546_181.8143_27.165863_blur_downsample/distorted.png,research/data/restoration_v2_proxy_pairs/v2_0015_666_87_TZSNTHIAHM_1_24_25_D_LivingDining_114.153352_22.279546_181.8143_27.165863_blur_downsample/mask.png,0.10712293,1.000000,22.009798,train,20260835
v2_0016_134_15_SKEYPPEAPE_1_5_32_A_MBed_114.148373_22.280541_240.3548_26.831315_smear_warp,SKEYPPEAPE,research/assets/distortion_segmentation_annotation_dataset/for_segmentation/images/134_15_SKEYPPEAPE_1_5_32_A_MBed_114.148373_22.280541_240.3548_26.831315.png,smear_warp,small,research/data/restoration_v2_proxy_pairs/v2_0016_134_15_SKEYPPEAPE_1_5_32_A_MBed_114.148373_22.280541_240.3548_26.831315_smear_warp/clean.png,research/data/restoration_v2_proxy_pairs/v2_0016_134_15_SKEYPPEAPE_1_5_32_A_MBed_114.148373_22.280541_240.3548_26.831315_smear_warp/distorted.png,research/data/restoration_v2_proxy_pairs/v2_0016_134_15_SKEYPPEAPE_1_5_32_A_MBed_114.148373_22.280541_240.3548_26.831315_smear_warp/mask.png,0.04609774,1.000000,42.323534,train,20260836
v2_0017_108_44_SSPPWBPEPK_1_8_15_C_Living_114.152563_22.280719_111.0554_29.822021_repeat_missing,SSPPWBPEPK,research/assets/distortion_segmentation_annotation_dataset/for_segmentation/images/108_44_SSPPWBPEPK_1_8_15_C_Living_114.152563_22.280719_111.0554_29.822021.png,repeat_missing,large,research/data/restoration_v2_proxy_pairs/v2_0017_108_44_SSPPWBPEPK_1_8_15_C_Living_114.152563_22.280719_111.0554_29.822021_repeat_missing/clean.png,research/data/restoration_v2_proxy_pairs/v2_0017_108_44_SSPPWBPEPK_1_8_15_C_Living_114.152563_22.280719_111.0554_29.822021_repeat_missing/distorted.png,research/data/restoration_v2_proxy_pairs/v2_0017_108_44_SSPPWBPEPK_1_8_15_C_Living_114.152563_22.280719_111.0554_29.822021_repeat_missing/mask.png,0.32788584,1.000000,29.793906,train,20260837
v2_0018_1501_93_TZTNIHIYHM_1_39_8_F_Bed_2_114.149404_22.281903_157.1767_32.133977_blur_downsample,TZTNIHIYHM,research/assets/distortion_segmentation_annotation_dataset/for_segmentation/images/1501_93_TZTNIHIYHM_1_39_8_F_Bed_2_114.149404_22.281903_157.1767_32.133977.png,blur_downsample,small,research/data/restoration_v2_proxy_pairs/v2_0018_1501_93_TZTNIHIYHM_1_39_8_F_Bed_2_114.149404_22.281903_157.1767_32.133977_blur_downsample/clean.png,research/data/restoration_v2_proxy_pairs/v2_0018_1501_93_TZTNIHIYHM_1_39_8_F_Bed_2_114.149404_22.281903_157.1767_32.133977_blur_downsample/distorted.png,research/data/restoration_v2_proxy_pairs/v2_0018_1501_93_TZTNIHIYHM_1_39_8_F_Bed_2_114.149404_22.281903_157.1767_32.133977_blur_downsample/mask.png,0.04344707,0.999960,14.350612,train,20260838
v2_0019_104_22_SKPPWBPEPE_2_32_11_Whole_MBed_114.149199_22.282909_112.602_118.988693_smear_warp,SKPPWBPEPE,research/assets/distortion_segmentation_annotation_dataset/for_segmentation/images/104_22_SKPPWBPEPE_2_32_11_Whole_MBed_114.149199_22.282909_112.602_118.988693.png,smear_warp,large,research/data/restoration_v2_proxy_pairs/v2_0019_104_22_SKPPWBPEPE_2_32_11_Whole_MBed_114.149199_22.282909_112.602_118.988693_smear_warp/clean.png,research/data/restoration_v2_proxy_pairs/v2_0019_104_22_SKPPWBPEPE_2_32_11_Whole_MBed_114.149199_22.282909_112.602_118.988693_smear_warp/distorted.png,research/data/restoration_v2_proxy_pairs/v2_0019_104_22_SKPPWBPEPE_2_32_11_Whole_MBed_114.149199_22.282909_112.602_118.988693_smear_warp/mask.png,0.36172672,0.999442,18.576878,train,20260839
v2_0020_1480_93_TZTNIHIYHM_1_38_33_F_Bed_1_114.149373_22.281923_225.9551_32.133977_repeat_missing,TZTNIHIYHM,research/assets/distortion_segmentation_annotation_dataset/for_segmentation/images/1480_93_TZTNIHIYHM_1_38_33_F_Bed_1_114.149373_22.281923_225.9551_32.133977.png,repeat_missing,medium,research/data/restoration_v2_proxy_pairs/v2_0020_1480_93_TZTNIHIYHM_1_38_33_F_Bed_1_114.149373_22.281923_225.9551_32.133977_repeat_missing/clean.png,research/data/restoration_v2_proxy_pairs/v2_0020_1480_93_TZTNIHIYHM_1_38_33_F_Bed_1_114.149373_22.281923_225.9551_32.133977_repeat_missing/distorted.png,research/data/restoration_v2_proxy_pairs/v2_0020_1480_93_TZTNIHIYHM_1_38_33_F_Bed_1_114.149373_22.281923_225.9551_32.133977_repeat_missing/mask.png,0.18845663,0.999880,15.641004,train,20260840
v2_0021_481_48_SSPPWDPXPE_1_14_1_C_Living_114.143066_22.284719_71.05_2.908905_blur_downsample,SSPPWDPXPE,research/assets/distortion_segmentation_annotation_dataset/for_segmentation/images/481_48_SSPPWDPXPE_1_14_1_C_Living_114.143066_22.284719_71.05_2.908905.png,blur_downsample,small,research/data/restoration_v2_proxy_pairs/v2_0021_481_48_SSPPWDPXPE_1_14_1_C_Living_114.143066_22.284719_71.05_2.908905_blur_downsample/clean.png,research/data/restoration_v2_proxy_pairs/v2_0021_481_48_SSPPWDPXPE_1_14_1_C_Living_114.143066_22.284719_71.05_2.908905_blur_downsample/distorted.png,research/data/restoration_v2_proxy_pairs/v2_0021_481_48_SSPPWDPXPE_1_14_1_C_Living_114.143066_22.284719_71.05_2.908905_blur_downsample/mask.png,0.05357143,1.000000,13.072049,train,20260841
v2_0022_100_35_SKPPWSPEPE_2_26_12_A_MBed_114.147035_22.281469_202.9475_70.278275_smear_warp,SKPPWSPEPE,research/assets/distortion_segmentation_annotation_dataset/for_segmentation/images/100_35_SKPPWSPEPE_2_26_12_A_MBed_114.147035_22.281469_202.9475_70.278275.png,smear_warp,medium,research/data/restoration_v2_proxy_pairs/v2_0022_100_35_SKPPWSPEPE_2_26_12_A_MBed_114.147035_22.281469_202.9475_70.278275_smear_warp/clean.png,research/data/restoration_v2_proxy_pairs/v2_0022_100_35_SKPPWSPEPE_2_26_12_A_MBed_114.147035_22.281469_202.9475_70.278275_smear_warp/distorted.png,research/data/restoration_v2_proxy_pairs/v2_0022_100_35_SKPPWSPEPE_2_26_12_A_MBed_114.147035_22.281469_202.9475_70.278275_smear_warp/mask.png,0.15276228,1.000000,27.400304,train,20260842
v2_0023_56_15_SKEYPPEAPE_1_3_10_A_MBath_114.148332_22.280509_175.98_21.22964_repeat_missing,SKEYPPEAPE,research/assets/distortion_segmentation_annotation_dataset/for_segmentation/images/56_15_SKEYPPEAPE_1_3_10_A_MBath_114.148332_22.280509_175.98_21.22964.png,repeat_missing,medium,research/data/restoration_v2_proxy_pairs/v2_0023_56_15_SKEYPPEAPE_1_3_10_A_MBath_114.148332_22.280509_175.98_21.22964_repeat_missing/clean.png,research/data/restoration_v2_proxy_pairs/v2_0023_56_15_SKEYPPEAPE_1_3_10_A_MBath_114.148332_22.280509_175.98_21.22964_repeat_missing/distorted.png,research/data/restoration_v2_proxy_pairs/v2_0023_56_15_SKEYPPEAPE_1_3_10_A_MBath_114.148332_22.280509_175.98_21.22964_repeat_missing/mask.png,0.11120855,1.000000,52.383154,train,20260843
v2_0024_40_55_SSPPWYPEPE_2_6_11_A_Bed_1_114.139876_22.284731_84.5033_3.405376_blur_downsample,SSPPWYPEPE,research/assets/distortion_segmentation_annotation_dataset/for_segmentation/images/40_55_SSPPWYPEPE_2_6_11_A_Bed_1_114.139876_22.284731_84.5033_3.405376.png,blur_downsample,medium,research/data/restoration_v2_proxy_pairs/v2_0024_40_55_SSPPWYPEPE_2_6_11_A_Bed_1_114.139876_22.284731_84.5033_3.405376_blur_downsample/clean.png,research/data/restoration_v2_proxy_pairs/v2_0024_40_55_SSPPWYPEPE_2_6_11_A_Bed_1_114.139876_22.284731_84.5033_3.405376_blur_downsample/distorted.png,research/data/restoration_v2_proxy_pairs/v2_0024_40_55_SSPPWYPEPE_2_6_11_A_Bed_1_114.139876_22.284731_84.5033_3.405376_blur_downsample/mask.png,0.08545918,1.000000,11.338619,train,20260844
v2_0025_168_15_SKEYPPEAPE_1_7_10_A_Living_114.148411_22.280499_175.5_26.803866_smear_warp,SKEYPPEAPE,research/assets/distortion_segmentation_annotation_dataset/for_segmentation/images/168_15_SKEYPPEAPE_1_7_10_A_Living_114.148411_22.280499_175.5_26.803866.png,smear_warp,small,research/data/restoration_v2_proxy_pairs/v2_0025_168_15_SKEYPPEAPE_1_7_10_A_Living_114.148411_22.280499_175.5_26.803866_smear_warp/clean.png,research/data/restoration_v2_proxy_pairs/v2_0025_168_15_SKEYPPEAPE_1_7_10_A_Living_114.148411_22.280499_175.5_26.803866_smear_warp/distorted.png,research/data/restoration_v2_proxy_pairs/v2_0025_168_15_SKEYPPEAPE_1_7_10_A_Living_114.148411_22.280499_175.5_26.803866_smear_warp/mask.png,0.04358658,1.000000,29.079409,train,20260845
v2_0026_110_29_SKPPWGPEPE_2_236_33_A_Kitchen_114.150148_22.282357_193.9733_101.323709_repeat_missing,SKPPWGPEPE,research/assets/distortion_segmentation_annotation_dataset/for_segmentation/images/110_29_SKPPWGPEPE_2_236_33_A_Kitchen_114.150148_22.282357_193.9733_101.323709.png,repeat_missing,medium,research/data/restoration_v2_proxy_pairs/v2_0026_110_29_SKPPWGPEPE_2_236_33_A_Kitchen_114.150148_22.282357_193.9733_101.323709_repeat_missing/clean.png,research/data/restoration_v2_proxy_pairs/v2_0026_110_29_SKPPWGPEPE_2_236_33_A_Kitchen_114.150148_22.282357_193.9733_101.323709_repeat_missing/distorted.png,research/data/restoration_v2_proxy_pairs/v2_0026_110_29_SKPPWGPEPE_2_236_33_A_Kitchen_114.150148_22.282357_193.9733_101.323709_repeat_missing/mask.png,0.20214844,1.000000,20.345526,train,20260846
v2_0027_111_56_SSPPWYPXPS_1_3_16_A_Bed_2_114.133626_22.285476_83.5121_151.72097_blur_downsample,SSPPWYPXPS,research/assets/distortion_segmentation_annotation_dataset/for_segmentation/images/111_56_SSPPWYPXPS_1_3_16_A_Bed_2_114.133626_22.285476_83.5121_151.72097.png,blur_downsample,small,research/data/restoration_v2_proxy_pairs/v2_0027_111_56_SSPPWYPXPS_1_3_16_A_Bed_2_114.133626_22.285476_83.5121_151.72097_blur_downsample/clean.png,research/data/restoration_v2_proxy_pairs/v2_0027_111_56_SSPPWYPXPS_1_3_16_A_Bed_2_114.133626_22.285476_83.5121_151.72097_blur_downsample/distorted.png,research/data/restoration_v2_proxy_pairs/v2_0027_111_56_SSPPWYPXPS_1_3_16_A_Bed_2_114.133626_22.285476_83.5121_151.72097_blur_downsample/mask.png,0.04284917,1.000000,19.160310,train,20260847
v2_0028_132_10_SKADBPYRPE_3_24_27_A_Bed_2_114.149299_22.282747_149.38_124.207392_smear_warp,SKADBPYRPE,research/assets/distortion_segmentation_annotation_dataset/for_segmentation/images/132_10_SKADBPYRPE_3_24_27_A_Bed_2_114.149299_22.282747_149.38_124.207392.png,smear_warp,small,research/data/restoration_v2_proxy_pairs/v2_0028_132_10_SKADBPYRPE_3_24_27_A_Bed_2_114.149299_22.282747_149.38_124.207392_smear_warp/clean.png,research/data/restoration_v2_proxy_pairs/v2_0028_132_10_SKADBPYRPE_3_24_27_A_Bed_2_114.149299_22.282747_149.38_124.207392_smear_warp/distorted.png,research/data/restoration_v2_proxy_pairs/v2_0028_132_10_SKADBPYRPE_3_24_27_A_Bed_2_114.149299_22.282747_149.38_124.207392_smear_warp/mask.png,0.05044244,0.909760,15.226129,train,20260848
v2_0029_10_62_TTSDZHIVHT_1_3_15_A_Living_114.13213_22.282362_106.55_60.14074_repeat_missing,TTSDZHIVHT,research/assets/distortion_segmentation_annotation_dataset/for_segmentation/images/10_62_TTSDZHIVHT_1_3_15_A_Living_114.13213_22.282362_106.55_60.14074.png,repeat_missing,medium,research/data/restoration_v2_proxy_pairs/v2_0029_10_62_TTSDZHIVHT_1_3_15_A_Living_114.13213_22.282362_106.55_60.14074_repeat_missing/clean.png,research/data/restoration_v2_proxy_pairs/v2_0029_10_62_TTSDZHIVHT_1_3_15_A_Living_114.13213_22.282362_106.55_60.14074_repeat_missing/distorted.png,research/data/restoration_v2_proxy_pairs/v2_0029_10_62_TTSDZHIVHT_1_3_15_A_Living_114.13213_22.282362_106.55_60.14074_repeat_missing/mask.png,0.16868622,1.000000,13.704553,train,20260849
v2_0030_62_15_SKEYPPEAPE_1_3_16_A_MBath_114.148332_22.280509_193.6089_21.22964_blur_downsample,SKEYPPEAPE,research/assets/distortion_segmentation_annotation_dataset/for_segmentation/images/62_15_SKEYPPEAPE_1_3_16_A_MBath_114.148332_22.280509_193.6089_21.22964.png,blur_downsample,large,research/data/restoration_v2_proxy_pairs/v2_0030_62_15_SKEYPPEAPE_1_3_16_A_MBath_114.148332_22.280509_193.6089_21.22964_blur_downsample/clean.png,research/data/restoration_v2_proxy_pairs/v2_0030_62_15_SKEYPPEAPE_1_3_16_A_MBath_114.148332_22.280509_193.6089_21.22964_blur_downsample/distorted.png,research/data/restoration_v2_proxy_pairs/v2_0030_62_15_SKEYPPEAPE_1_3_16_A_MBath_114.148332_22.280509_193.6089_21.22964_blur_downsample/mask.png,0.58274872,0.998784,10.466131,train,20260850
