sample_id,showcase_index,source_group,category,severity,manual_mask_ratio,image_path,annotation_mask_path,sam_mask_path,sam_mask_ratio,sam_model_iou_score,mask_source,previous_generated_path,manual_sam_iou,manual_sam_dice,annotation_mask_ratio
showcase_10_332_11_SKBKBPEAPE_1_10_9_B_Living_114.148944_22.280819_177.7997_124.083485,10,SKBKBPEAPE,Living,medium,0.6049938271604939,research/assets/distortion_segmentation_annotation_dataset/for_segmentation/images/332_11_SKBKBPEAPE_1_10_9_B_Living_114.148944_22.280819_177.7997_124.083485.png,research/assets/distortion_segmentation_annotation_dataset/for_segmentation/mask_for_sam/332_11_SKBKBPEAPE_1_10_9_B_Living_114.148944_22.280819_177.7997_124.083485.png,research/outputs/restoration/showcase_sam/10_332_11_SKBKBPEAPE_1_10_9_B_Living_114.148944_22.280819_177.7997_124.083485/sam_mask.png,0.64775679,-0.00482782,SAM_LoRA_cpu,,0.91837082,0.95744870,0.60499383
showcase_11_291_41_SKSWBPWJPS_1_11_12_D_LivingDining_114.142098_22.284331_102.0552_26.061722,11,SKSWBPWJPS,other,medium,0.5948246913580247,research/assets/distortion_segmentation_annotation_dataset/for_segmentation/images/291_41_SKSWBPWJPS_1_11_12_D_LivingDining_114.142098_22.284331_102.0552_26.061722.png,research/assets/distortion_segmentation_annotation_dataset/for_segmentation/mask_for_sam/291_41_SKSWBPWJPS_1_11_12_D_LivingDining_114.142098_22.284331_102.0552_26.061722.png,research/outputs/restoration/showcase_sam/11_291_41_SKSWBPWJPS_1_11_12_D_LivingDining_114.142098_22.284331_102.0552_26.061722/sam_mask.png,0.61075556,-0.00869000,SAM_LoRA_cpu,,0.97111910,0.98534797,0.59482469
showcase_12_126_27_SKPPWEPXPE_2_32_17_B_Living_114.146829_22.283221_127.9217_4.44512,12,SKPPWEPXPE,Living,medium,0.4755432098765432,research/assets/distortion_segmentation_annotation_dataset/for_segmentation/images/126_27_SKPPWEPXPE_2_32_17_B_Living_114.146829_22.283221_127.9217_4.44512.png,research/assets/distortion_segmentation_annotation_dataset/for_segmentation/mask_for_sam/126_27_SKPPWEPXPE_2_32_17_B_Living_114.146829_22.283221_127.9217_4.44512.png,research/outputs/restoration/showcase_sam/12_126_27_SKPPWEPXPE_2_32_17_B_Living_114.146829_22.283221_127.9217_4.44512/sam_mask.png,0.46241481,0.05671537,SAM_LoRA_cpu,,0.96934059,0.98443164,0.47554321
showcase_13_1332_56_SSPPWYPXPS_1_26_18_G_Living_114.133475_22.285613_89.834_14.049906,13,SSPPWYPXPS,Living,medium,0.3623975308641975,research/assets/distortion_segmentation_annotation_dataset/for_segmentation/images/1332_56_SSPPWYPXPS_1_26_18_G_Living_114.133475_22.285613_89.834_14.049906.png,research/assets/distortion_segmentation_annotation_dataset/for_segmentation/mask_for_sam/1332_56_SSPPWYPXPS_1_26_18_G_Living_114.133475_22.285613_89.834_14.049906.png,research/outputs/restoration/showcase_sam/13_1332_56_SSPPWYPXPS_1_26_18_G_Living_114.133475_22.285613_89.834_14.049906/sam_mask.png,0.40146914,-0.02236298,SAM_LoRA_cpu,,0.88160520,0.93707777,0.36239753
showcase_14_322_73_TZHSTHMYHM_2_108_16_1_Kitchen_114.151702_22.278596_198.2771_116.042403,14,TZHSTHMYHM,Kitchen,medium,0.6158234567901234,research/assets/distortion_segmentation_annotation_dataset/for_segmentation/images/322_73_TZHSTHMYHM_2_108_16_1_Kitchen_114.151702_22.278596_198.2771_116.042403.png,research/assets/distortion_segmentation_annotation_dataset/for_segmentation/mask_for_sam/322_73_TZHSTHMYHM_2_108_16_1_Kitchen_114.151702_22.278596_198.2771_116.042403.png,research/outputs/restoration/showcase_sam/14_322_73_TZHSTHMYHM_2_108_16_1_Kitchen_114.151702_22.278596_198.2771_116.042403/sam_mask.png,0.49073704,-0.02967899,SAM_LoRA_cpu,,0.73454503,0.84695988,0.61582346
showcase_15_666_87_TZSNTHIAHM_1_24_25_D_LivingDining_114.153352_22.279546_181.8143_27.165863,15,TZSNTHIAHM,other,medium,0.4021098765432099,research/assets/distortion_segmentation_annotation_dataset/for_segmentation/images/666_87_TZSNTHIAHM_1_24_25_D_LivingDining_114.153352_22.279546_181.8143_27.165863.png,research/assets/distortion_segmentation_annotation_dataset/for_segmentation/mask_for_sam/666_87_TZSNTHIAHM_1_24_25_D_LivingDining_114.153352_22.279546_181.8143_27.165863.png,research/outputs/restoration/showcase_sam/15_666_87_TZSNTHIAHM_1_24_25_D_LivingDining_114.153352_22.279546_181.8143_27.165863/sam_mask.png,0.41016667,-0.01879286,SAM_LoRA_cpu,,0.98007120,0.98993531,0.40210988
showcase_16_1537_93_TZTNIHIYHM_1_39_44_F_Bed_2_114.149404_22.281903_256.0967_32.133977,16,TZTNIHIYHM,Bed,small,0.3413259259259259,research/assets/distortion_segmentation_annotation_dataset/for_segmentation/images/1537_93_TZTNIHIYHM_1_39_44_F_Bed_2_114.149404_22.281903_256.0967_32.133977.png,research/assets/distortion_segmentation_annotation_dataset/for_segmentation/mask_for_sam/1537_93_TZTNIHIYHM_1_39_44_F_Bed_2_114.149404_22.281903_256.0967_32.133977.png,research/outputs/restoration/showcase_sam/16_1537_93_TZTNIHIYHM_1_39_44_F_Bed_2_114.149404_22.281903_256.0967_32.133977/sam_mask.png,0.36585432,0.04171963,SAM_LoRA_cpu,,0.92968047,0.96355898,0.34132593
showcase_17_637_3_OSRJURUXRU_1_31_20_D_MBed_114.151034_22.279006_200.6628_25.908724,17,OSRJURUXRU,MBed,small,0.3277962962962963,research/assets/distortion_segmentation_annotation_dataset/for_segmentation/images/637_3_OSRJURUXRU_1_31_20_D_MBed_114.151034_22.279006_200.6628_25.908724.png,research/assets/distortion_segmentation_annotation_dataset/for_segmentation/mask_for_sam/637_3_OSRJURUXRU_1_31_20_D_MBed_114.151034_22.279006_200.6628_25.908724.png,research/outputs/restoration/showcase_sam/17_637_3_OSRJURUXRU_1_31_20_D_MBed_114.151034_22.279006_200.6628_25.908724/sam_mask.png,0.37496173,0.02201079,SAM_LoRA_cpu,,0.86800688,0.92934013,0.32779630
showcase_18_322_89_TZTMTHMJMM_1_25_19_D_Bed_1_114.145024_22.281708_213.4978_152.773372,18,TZTMTHMJMM,Bed,small,0.0,research/assets/distortion_segmentation_annotation_dataset/for_segmentation/images/322_89_TZTMTHMJMM_1_25_19_D_Bed_1_114.145024_22.281708_213.4978_152.773372.png,research/assets/distortion_segmentation_annotation_dataset/for_segmentation/mask_for_sam/322_89_TZTMTHMJMM_1_25_19_D_Bed_1_114.145024_22.281708_213.4978_152.773372.png,research/outputs/restoration/showcase_sam/18_322_89_TZTMTHMJMM_1_25_19_D_Bed_1_114.145024_22.281708_213.4978_152.773372/sam_mask.png,0.00000000,-0.05594259,SAM_LoRA_cpu,,1.00000000,1.00000000,0.00000000
showcase_19_112_49_SSPPWDPXPS_1_3_17_A_Bed_1_114.13391_22.285112_86.4546_56.279381,19,SSPPWDPXPS,Bed,small,0.0,research/assets/distortion_segmentation_annotation_dataset/for_segmentation/images/112_49_SSPPWDPXPS_1_3_17_A_Bed_1_114.13391_22.285112_86.4546_56.279381.png,research/assets/distortion_segmentation_annotation_dataset/for_segmentation/mask_for_sam/112_49_SSPPWDPXPS_1_3_17_A_Bed_1_114.13391_22.285112_86.4546_56.279381.png,research/outputs/restoration/showcase_sam/19_112_49_SSPPWDPXPS_1_3_17_A_Bed_1_114.13391_22.285112_86.4546_56.279381/sam_mask.png,0.00000000,-0.02028558,SAM_LoRA_cpu,,1.00000000,1.00000000,0.00000000
showcase_20_11_46_SSPPWBPXPS_1_1_22_A_Bed_1_114.133187_22.284774_101.8261_106.039006,20,SSPPWBPXPS,Bed,small,0.0,research/assets/distortion_segmentation_annotation_dataset/for_segmentation/images/11_46_SSPPWBPXPS_1_1_22_A_Bed_1_114.133187_22.284774_101.8261_106.039006.png,research/assets/distortion_segmentation_annotation_dataset/for_segmentation/mask_for_sam/11_46_SSPPWBPXPS_1_1_22_A_Bed_1_114.133187_22.284774_101.8261_106.039006.png,research/outputs/restoration/showcase_sam/20_11_46_SSPPWBPXPS_1_1_22_A_Bed_1_114.133187_22.284774_101.8261_106.039006/sam_mask.png,0.00000000,-0.05243795,SAM_LoRA_cpu,,1.00000000,1.00000000,0.00000000
showcase_21_134_15_SKEYPPEAPE_1_5_32_A_MBed_114.148373_22.280541_240.3548_26.831315,21,SKEYPPEAPE,MBed,small,0.2625358024691358,research/assets/distortion_segmentation_annotation_dataset/for_segmentation/images/134_15_SKEYPPEAPE_1_5_32_A_MBed_114.148373_22.280541_240.3548_26.831315.png,research/assets/distortion_segmentation_annotation_dataset/for_segmentation/mask_for_sam/134_15_SKEYPPEAPE_1_5_32_A_MBed_114.148373_22.280541_240.3548_26.831315.png,research/outputs/restoration/showcase_sam/21_134_15_SKEYPPEAPE_1_5_32_A_MBed_114.148373_22.280541_240.3548_26.831315/sam_mask.png,0.26112840,0.02648450,SAM_LoRA_cpu,,0.99236250,0.99616661,0.26253580
showcase_22_40_44_SSPPWBPEPK_1_2_17_A_MBed_114.152675_22.280637_116.9946_30.090764,22,SSPPWBPEPK,MBed,small,0.0,research/assets/distortion_segmentation_annotation_dataset/for_segmentation/images/40_44_SSPPWBPEPK_1_2_17_A_MBed_114.152675_22.280637_116.9946_30.090764.png,research/assets/distortion_segmentation_annotation_dataset/for_segmentation/mask_for_sam/40_44_SSPPWBPEPK_1_2_17_A_MBed_114.152675_22.280637_116.9946_30.090764.png,research/outputs/restoration/showcase_sam/22_40_44_SSPPWBPEPK_1_2_17_A_MBed_114.152675_22.280637_116.9946_30.090764/sam_mask.png,0.00997654,-0.03093373,SAM_LoRA_cpu,,0.00000000,0.00000000,0.00000000
showcase_23_203_13_SKEBGPEXPE_1_8_1_B_Living_114.148057_22.281298_157.79_9.094576,23,SKEBGPEXPE,Living,small,0.17187654320987655,research/assets/distortion_segmentation_annotation_dataset/for_segmentation/images/203_13_SKEBGPEXPE_1_8_1_B_Living_114.148057_22.281298_157.79_9.094576.png,research/assets/distortion_segmentation_annotation_dataset/for_segmentation/mask_for_sam/203_13_SKEBGPEXPE_1_8_1_B_Living_114.148057_22.281298_157.79_9.094576.png,research/outputs/restoration/showcase_sam/23_203_13_SKEBGPEXPE_1_8_1_B_Living_114.148057_22.281298_157.79_9.094576/sam_mask.png,0.25041481,0.00905271,SAM_LoRA_cpu,,0.53979401,0.70112496,0.17187654
