R1_NAFNet_path,R2_LaMa_path,degradation,input_path,mask_path,outside_allowed_max,r1_runtime_sec,r2_crop,r2_resized,r2_runtime_sec,sample_id,split,target_path
research\outputs\restoration_v2\real_results\proxy\v2_0010_1549_40_SKSSGPYXPE_1_39_36_H_Bed_1_114.15014_22.281556_207.632_27.006944_smear_warp\R1_NAFNet.png,research\outputs\restoration_v2\real_results\proxy\v2_0010_1549_40_SKSSGPYXPE_1_39_36_H_Bed_1_114.15014_22.281556_207.632_27.006944_smear_warp\R2_LaMa.png,smear_warp,research/data/restoration_v2_proxy_pairs/v2_0010_1549_40_SKSSGPYXPE_1_39_36_H_Bed_1_114.15014_22.281556_207.632_27.006944_smear_warp/distorted.png,research/data/restoration_v2_proxy_pairs/v2_0010_1549_40_SKSSGPYXPE_1_39_36_H_Bed_1_114.15014_22.281556_207.632_27.006944_smear_warp/mask.png,0,0.0378,"[0, 0, 224, 224]",False,0.0533,v2_0010_1549_40_SKSSGPYXPE_1_39_36_H_Bed_1_114.15014_22.281556_207.632_27.006944_smear_warp,train,research/data/restoration_v2_proxy_pairs/v2_0010_1549_40_SKSSGPYXPE_1_39_36_H_Bed_1_114.15014_22.281556_207.632_27.006944_smear_warp/clean.png
research\outputs\restoration_v2\real_results\proxy\v2_0011_323_73_TZHSTHMYHM_2_108_17_1_Kitchen_114.151702_22.278596_201.0533_116.042403_repeat_missing\R1_NAFNet.png,research\outputs\restoration_v2\real_results\proxy\v2_0011_323_73_TZHSTHMYHM_2_108_17_1_Kitchen_114.151702_22.278596_201.0533_116.042403_repeat_missing\R2_LaMa.png,repeat_missing,research/data/restoration_v2_proxy_pairs/v2_0011_323_73_TZHSTHMYHM_2_108_17_1_Kitchen_114.151702_22.278596_201.0533_116.042403_repeat_missing/distorted.png,research/data/restoration_v2_proxy_pairs/v2_0011_323_73_TZHSTHMYHM_2_108_17_1_Kitchen_114.151702_22.278596_201.0533_116.042403_repeat_missing/mask.png,0,0.0476,"[11, 0, 224, 224]",False,0.0544,v2_0011_323_73_TZHSTHMYHM_2_108_17_1_Kitchen_114.151702_22.278596_201.0533_116.042403_repeat_missing,train,research/data/restoration_v2_proxy_pairs/v2_0011_323_73_TZHSTHMYHM_2_108_17_1_Kitchen_114.151702_22.278596_201.0533_116.042403_repeat_missing/clean.png
research\outputs\restoration_v2\real_results\proxy\v2_0012_543_77_TZHXTHIVHM_1_18_4_C_Bed_1_114.152905_22.279414_118.1211_8.589351_blur_downsample\R1_NAFNet.png,research\outputs\restoration_v2\real_results\proxy\v2_0012_543_77_TZHXTHIVHM_1_18_4_C_Bed_1_114.152905_22.279414_118.1211_8.589351_blur_downsample\R2_LaMa.png,blur_downsample,research/data/restoration_v2_proxy_pairs/v2_0012_543_77_TZHXTHIVHM_1_18_4_C_Bed_1_114.152905_22.279414_118.1211_8.589351_blur_downsample/distorted.png,research/data/restoration_v2_proxy_pairs/v2_0012_543_77_TZHXTHIVHM_1_18_4_C_Bed_1_114.152905_22.279414_118.1211_8.589351_blur_downsample/mask.png,0,0.0438,"[0, 0, 153, 185]",False,0.1711,v2_0012_543_77_TZHXTHIVHM_1_18_4_C_Bed_1_114.152905_22.279414_118.1211_8.589351_blur_downsample,train,research/data/restoration_v2_proxy_pairs/v2_0012_543_77_TZHXTHIVHM_1_18_4_C_Bed_1_114.152905_22.279414_118.1211_8.589351_blur_downsample/clean.png
research\outputs\restoration_v2\real_results\proxy\v2_0013_364_70_TZDXIHXYHM_1_13_17_C_MBed_114.148477_22.281452_188.6929_27.440753_smear_warp\R1_NAFNet.png,research\outputs\restoration_v2\real_results\proxy\v2_0013_364_70_TZDXIHXYHM_1_13_17_C_MBed_114.148477_22.281452_188.6929_27.440753_smear_warp\R2_LaMa.png,smear_warp,research/data/restoration_v2_proxy_pairs/v2_0013_364_70_TZDXIHXYHM_1_13_17_C_MBed_114.148477_22.281452_188.6929_27.440753_smear_warp/distorted.png,research/data/restoration_v2_proxy_pairs/v2_0013_364_70_TZDXIHXYHM_1_13_17_C_MBed_114.148477_22.281452_188.6929_27.440753_smear_warp/mask.png,0,0.0438,"[0, 0, 224, 224]",False,0.0672,v2_0013_364_70_TZDXIHXYHM_1_13_17_C_MBed_114.148477_22.281452_188.6929_27.440753_smear_warp,train,research/data/restoration_v2_proxy_pairs/v2_0013_364_70_TZDXIHXYHM_1_13_17_C_MBed_114.148477_22.281452_188.6929_27.440753_smear_warp/clean.png
research\outputs\restoration_v2\real_results\proxy\v2_0014_121_46_SSPPWBPXPS_1_3_28_A_Living_114.133194_22.284701_116.4567_106.038308_repeat_missing\R1_NAFNet.png,research\outputs\restoration_v2\real_results\proxy\v2_0014_121_46_SSPPWBPXPS_1_3_28_A_Living_114.133194_22.284701_116.4567_106.038308_repeat_missing\R2_LaMa.png,repeat_missing,research/data/restoration_v2_proxy_pairs/v2_0014_121_46_SSPPWBPXPS_1_3_28_A_Living_114.133194_22.284701_116.4567_106.038308_repeat_missing/distorted.png,research/data/restoration_v2_proxy_pairs/v2_0014_121_46_SSPPWBPXPS_1_3_28_A_Living_114.133194_22.284701_116.4567_106.038308_repeat_missing/mask.png,0,0.0414,"[0, 0, 224, 224]",False,0.0546,v2_0014_121_46_SSPPWBPXPS_1_3_28_A_Living_114.133194_22.284701_116.4567_106.038308_repeat_missing,train,research/data/restoration_v2_proxy_pairs/v2_0014_121_46_SSPPWBPXPS_1_3_28_A_Living_114.133194_22.284701_116.4567_106.038308_repeat_missing/clean.png
research\outputs\restoration_v2\real_results\proxy\v2_0015_666_87_TZSNTHIAHM_1_24_25_D_LivingDining_114.153352_22.279546_181.8143_27.165863_blur_downsample\R1_NAFNet.png,research\outputs\restoration_v2\real_results\proxy\v2_0015_666_87_TZSNTHIAHM_1_24_25_D_LivingDining_114.153352_22.279546_181.8143_27.165863_blur_downsample\R2_LaMa.png,blur_downsample,research/data/restoration_v2_proxy_pairs/v2_0015_666_87_TZSNTHIAHM_1_24_25_D_LivingDining_114.153352_22.279546_181.8143_27.165863_blur_downsample/distorted.png,research/data/restoration_v2_proxy_pairs/v2_0015_666_87_TZSNTHIAHM_1_24_25_D_LivingDining_114.153352_22.279546_181.8143_27.165863_blur_downsample/mask.png,0,0.0353,"[42, 0, 224, 224]",False,0.1550,v2_0015_666_87_TZSNTHIAHM_1_24_25_D_LivingDining_114.153352_22.279546_181.8143_27.165863_blur_downsample,train,research/data/restoration_v2_proxy_pairs/v2_0015_666_87_TZSNTHIAHM_1_24_25_D_LivingDining_114.153352_22.279546_181.8143_27.165863_blur_downsample/clean.png
research\outputs\restoration_v2\real_results\proxy\v2_0016_134_15_SKEYPPEAPE_1_5_32_A_MBed_114.148373_22.280541_240.3548_26.831315_smear_warp\R1_NAFNet.png,research\outputs\restoration_v2\real_results\proxy\v2_0016_134_15_SKEYPPEAPE_1_5_32_A_MBed_114.148373_22.280541_240.3548_26.831315_smear_warp\R2_LaMa.png,smear_warp,research/data/restoration_v2_proxy_pairs/v2_0016_134_15_SKEYPPEAPE_1_5_32_A_MBed_114.148373_22.280541_240.3548_26.831315_smear_warp/distorted.png,research/data/restoration_v2_proxy_pairs/v2_0016_134_15_SKEYPPEAPE_1_5_32_A_MBed_114.148373_22.280541_240.3548_26.831315_smear_warp/mask.png,0,0.0430,"[8, 56, 224, 224]",False,0.1380,v2_0016_134_15_SKEYPPEAPE_1_5_32_A_MBed_114.148373_22.280541_240.3548_26.831315_smear_warp,train,research/data/restoration_v2_proxy_pairs/v2_0016_134_15_SKEYPPEAPE_1_5_32_A_MBed_114.148373_22.280541_240.3548_26.831315_smear_warp/clean.png
research\outputs\restoration_v2\real_results\proxy\v2_0017_108_44_SSPPWBPEPK_1_8_15_C_Living_114.152563_22.280719_111.0554_29.822021_repeat_missing\R1_NAFNet.png,research\outputs\restoration_v2\real_results\proxy\v2_0017_108_44_SSPPWBPEPK_1_8_15_C_Living_114.152563_22.280719_111.0554_29.822021_repeat_missing\R2_LaMa.png,repeat_missing,research/data/restoration_v2_proxy_pairs/v2_0017_108_44_SSPPWBPEPK_1_8_15_C_Living_114.152563_22.280719_111.0554_29.822021_repeat_missing/distorted.png,research/data/restoration_v2_proxy_pairs/v2_0017_108_44_SSPPWBPEPK_1_8_15_C_Living_114.152563_22.280719_111.0554_29.822021_repeat_missing/mask.png,0,0.0431,"[0, 0, 224, 224]",False,0.0459,v2_0017_108_44_SSPPWBPEPK_1_8_15_C_Living_114.152563_22.280719_111.0554_29.822021_repeat_missing,train,research/data/restoration_v2_proxy_pairs/v2_0017_108_44_SSPPWBPEPK_1_8_15_C_Living_114.152563_22.280719_111.0554_29.822021_repeat_missing/clean.png
research\outputs\restoration_v2\real_results\proxy\v2_0018_1501_93_TZTNIHIYHM_1_39_8_F_Bed_2_114.149404_22.281903_157.1767_32.133977_blur_downsample\R1_NAFNet.png,research\outputs\restoration_v2\real_results\proxy\v2_0018_1501_93_TZTNIHIYHM_1_39_8_F_Bed_2_114.149404_22.281903_157.1767_32.133977_blur_downsample\R2_LaMa.png,blur_downsample,research/data/restoration_v2_proxy_pairs/v2_0018_1501_93_TZTNIHIYHM_1_39_8_F_Bed_2_114.149404_22.281903_157.1767_32.133977_blur_downsample/distorted.png,research/data/restoration_v2_proxy_pairs/v2_0018_1501_93_TZTNIHIYHM_1_39_8_F_Bed_2_114.149404_22.281903_157.1767_32.133977_blur_downsample/mask.png,0,0.0345,"[0, 60, 221, 224]",False,0.1588,v2_0018_1501_93_TZTNIHIYHM_1_39_8_F_Bed_2_114.149404_22.281903_157.1767_32.133977_blur_downsample,train,research/data/restoration_v2_proxy_pairs/v2_0018_1501_93_TZTNIHIYHM_1_39_8_F_Bed_2_114.149404_22.281903_157.1767_32.133977_blur_downsample/clean.png
research\outputs\restoration_v2\real_results\proxy\v2_0019_104_22_SKPPWBPEPE_2_32_11_Whole_MBed_114.149199_22.282909_112.602_118.988693_smear_warp\R1_NAFNet.png,research\outputs\restoration_v2\real_results\proxy\v2_0019_104_22_SKPPWBPEPE_2_32_11_Whole_MBed_114.149199_22.282909_112.602_118.988693_smear_warp\R2_LaMa.png,smear_warp,research/data/restoration_v2_proxy_pairs/v2_0019_104_22_SKPPWBPEPE_2_32_11_Whole_MBed_114.149199_22.282909_112.602_118.988693_smear_warp/distorted.png,research/data/restoration_v2_proxy_pairs/v2_0019_104_22_SKPPWBPEPE_2_32_11_Whole_MBed_114.149199_22.282909_112.602_118.988693_smear_warp/mask.png,0,0.0365,"[0, 0, 224, 224]",False,0.0487,v2_0019_104_22_SKPPWBPEPE_2_32_11_Whole_MBed_114.149199_22.282909_112.602_118.988693_smear_warp,train,research/data/restoration_v2_proxy_pairs/v2_0019_104_22_SKPPWBPEPE_2_32_11_Whole_MBed_114.149199_22.282909_112.602_118.988693_smear_warp/clean.png
research\outputs\restoration_v2\real_results\proxy\v2_0020_1480_93_TZTNIHIYHM_1_38_33_F_Bed_1_114.149373_22.281923_225.9551_32.133977_repeat_missing\R1_NAFNet.png,research\outputs\restoration_v2\real_results\proxy\v2_0020_1480_93_TZTNIHIYHM_1_38_33_F_Bed_1_114.149373_22.281923_225.9551_32.133977_repeat_missing\R2_LaMa.png,repeat_missing,research/data/restoration_v2_proxy_pairs/v2_0020_1480_93_TZTNIHIYHM_1_38_33_F_Bed_1_114.149373_22.281923_225.9551_32.133977_repeat_missing/distorted.png,research/data/restoration_v2_proxy_pairs/v2_0020_1480_93_TZTNIHIYHM_1_38_33_F_Bed_1_114.149373_22.281923_225.9551_32.133977_repeat_missing/mask.png,0,0.0336,"[0, 3, 224, 224]",False,0.0494,v2_0020_1480_93_TZTNIHIYHM_1_38_33_F_Bed_1_114.149373_22.281923_225.9551_32.133977_repeat_missing,train,research/data/restoration_v2_proxy_pairs/v2_0020_1480_93_TZTNIHIYHM_1_38_33_F_Bed_1_114.149373_22.281923_225.9551_32.133977_repeat_missing/clean.png
research\outputs\restoration_v2\real_results\proxy\v2_0021_481_48_SSPPWDPXPE_1_14_1_C_Living_114.143066_22.284719_71.05_2.908905_blur_downsample\R1_NAFNet.png,research\outputs\restoration_v2\real_results\proxy\v2_0021_481_48_SSPPWDPXPE_1_14_1_C_Living_114.143066_22.284719_71.05_2.908905_blur_downsample\R2_LaMa.png,blur_downsample,research/data/restoration_v2_proxy_pairs/v2_0021_481_48_SSPPWDPXPE_1_14_1_C_Living_114.143066_22.284719_71.05_2.908905_blur_downsample/distorted.png,research/data/restoration_v2_proxy_pairs/v2_0021_481_48_SSPPWDPXPE_1_14_1_C_Living_114.143066_22.284719_71.05_2.908905_blur_downsample/mask.png,0,0.0364,"[0, 20, 224, 224]",False,0.0582,v2_0021_481_48_SSPPWDPXPE_1_14_1_C_Living_114.143066_22.284719_71.05_2.908905_blur_downsample,train,research/data/restoration_v2_proxy_pairs/v2_0021_481_48_SSPPWDPXPE_1_14_1_C_Living_114.143066_22.284719_71.05_2.908905_blur_downsample/clean.png
research\outputs\restoration_v2\real_results\proxy\v2_0022_100_35_SKPPWSPEPE_2_26_12_A_MBed_114.147035_22.281469_202.9475_70.278275_smear_warp\R1_NAFNet.png,research\outputs\restoration_v2\real_results\proxy\v2_0022_100_35_SKPPWSPEPE_2_26_12_A_MBed_114.147035_22.281469_202.9475_70.278275_smear_warp\R2_LaMa.png,smear_warp,research/data/restoration_v2_proxy_pairs/v2_0022_100_35_SKPPWSPEPE_2_26_12_A_MBed_114.147035_22.281469_202.9475_70.278275_smear_warp/distorted.png,research/data/restoration_v2_proxy_pairs/v2_0022_100_35_SKPPWSPEPE_2_26_12_A_MBed_114.147035_22.281469_202.9475_70.278275_smear_warp/mask.png,0,0.0374,"[0, 35, 214, 224]",False,0.1528,v2_0022_100_35_SKPPWSPEPE_2_26_12_A_MBed_114.147035_22.281469_202.9475_70.278275_smear_warp,train,research/data/restoration_v2_proxy_pairs/v2_0022_100_35_SKPPWSPEPE_2_26_12_A_MBed_114.147035_22.281469_202.9475_70.278275_smear_warp/clean.png
research\outputs\restoration_v2\real_results\proxy\v2_0023_56_15_SKEYPPEAPE_1_3_10_A_MBath_114.148332_22.280509_175.98_21.22964_repeat_missing\R1_NAFNet.png,research\outputs\restoration_v2\real_results\proxy\v2_0023_56_15_SKEYPPEAPE_1_3_10_A_MBath_114.148332_22.280509_175.98_21.22964_repeat_missing\R2_LaMa.png,repeat_missing,research/data/restoration_v2_proxy_pairs/v2_0023_56_15_SKEYPPEAPE_1_3_10_A_MBath_114.148332_22.280509_175.98_21.22964_repeat_missing/distorted.png,research/data/restoration_v2_proxy_pairs/v2_0023_56_15_SKEYPPEAPE_1_3_10_A_MBath_114.148332_22.280509_175.98_21.22964_repeat_missing/mask.png,0,0.0362,"[27, 36, 224, 224]",False,0.1347,v2_0023_56_15_SKEYPPEAPE_1_3_10_A_MBath_114.148332_22.280509_175.98_21.22964_repeat_missing,train,research/data/restoration_v2_proxy_pairs/v2_0023_56_15_SKEYPPEAPE_1_3_10_A_MBath_114.148332_22.280509_175.98_21.22964_repeat_missing/clean.png
research\outputs\restoration_v2\real_results\proxy\v2_0024_40_55_SSPPWYPEPE_2_6_11_A_Bed_1_114.139876_22.284731_84.5033_3.405376_blur_downsample\R1_NAFNet.png,research\outputs\restoration_v2\real_results\proxy\v2_0024_40_55_SSPPWYPEPE_2_6_11_A_Bed_1_114.139876_22.284731_84.5033_3.405376_blur_downsample\R2_LaMa.png,blur_downsample,research/data/restoration_v2_proxy_pairs/v2_0024_40_55_SSPPWYPEPE_2_6_11_A_Bed_1_114.139876_22.284731_84.5033_3.405376_blur_downsample/distorted.png,research/data/restoration_v2_proxy_pairs/v2_0024_40_55_SSPPWYPEPE_2_6_11_A_Bed_1_114.139876_22.284731_84.5033_3.405376_blur_downsample/mask.png,0,0.0441,"[0, 46, 224, 224]",False,0.1666,v2_0024_40_55_SSPPWYPEPE_2_6_11_A_Bed_1_114.139876_22.284731_84.5033_3.405376_blur_downsample,train,research/data/restoration_v2_proxy_pairs/v2_0024_40_55_SSPPWYPEPE_2_6_11_A_Bed_1_114.139876_22.284731_84.5033_3.405376_blur_downsample/clean.png
